400, fu, 83.82, 3.81
400, shirts, 85.32, [85.18, 85.1, 85.26, 85.54, 85.54], -333.06, [-380.3, -227.42, -423.92, -301.92, -331.76]
400, shirts, 85.37, [85.54, 85.38, 85.26, 85.14, 85.54], -305.15, [-202.57, -430.05, -431.26, -415.78, -46.07]
400, trousers, 88.54, [88.41, 88.63, 88.63, 88.41, 88.63], -254.05, [-105.1, -410.66, -233.05, -425.19, -96.25]
400, shapes2, 78.53, [78.14, 78.14, 79.12, 79.12, 78.14], -204.61, [-49.14, -142.87, -317.65, -406.75, -106.63]
400, albano, 86.06, [86.06, 86.06, 86.06, 86.06, 86.06], -105.55, [-82.28, -159.15, -155.77, -99.06, -31.48]
400, shapes0, 60.54, [60.63, 60.95, 60.63, 60.63, 59.84], -251.92, [-392.29, -367.14, -156.83, -202.79, -140.53]
400, shapes1, 62.78, [62.54, 63.56, 63.05, 62.54, 62.2], -264.9, [-303.6, -267.03, -333.2, -274.27, -146.39]
400, shirts, 85.4, [85.54, 85.14, 85.54, 85.54, 85.26], -325.5, [-390.83, -427.17, -252.99, -140.46, -416.05]
400, shirts, 85.25, [85.54, 85.26, 85.26, 84.98, 85.22], -327.67, [-211.79, -427.93, -185.08, -389.43, -424.12]
400, trousers, 88.5, [88.63, 88.63, 87.97, 88.63, 88.63], -204.96, [-266.99, -59.16, -418.23, -128.03, -152.4]
400, shapes2, 78.92, [79.12, 79.12, 78.14, 79.12, 79.12], -180.69, [-206.51, -73.79, -211.73, -215.96, -195.46]
400, albano, 86.06, [86.06, 86.06, 86.06, 86.06, 86.06], -57.61, [-22.71, -53.52, -66.96, -110.0, -34.88]
400, shapes0, 60.28, [60.0, 60.95, 60.63, 59.52, 60.32], -241.37, [-173.86, -78.62, -286.68, -318.62, -349.06]
